Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,LapTimeSeconds,Year,Track,Session,AirTempC,TrackTempC,Rainfall,TyreAgeLaps,SessionProgress,LapTimeFormatted
RUS,Mercedes,17.0,0 days 00:01:19.440000,SOFT,6.0,1,True,79.44,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.440
SAI,Ferrari,2.0,0 days 00:01:23.504000,SOFT,1.0,1,True,83.504,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:23.504
SAI,Ferrari,5.0,0 days 00:01:20.149000,SOFT,2.0,1,True,80.149,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.149
SAI,Ferrari,8.0,0 days 00:01:20.328000,SOFT,3.0,1,True,80.328,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.328
SAI,Ferrari,11.0,0 days 00:01:19.799000,SOFT,4.0,1,True,79.799,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.799
SAI,Ferrari,14.0,0 days 00:01:19.701000,SOFT,5.0,1,True,79.701,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.701
SAI,Ferrari,17.0,0 days 00:01:19.467000,SOFT,6.0,1,True,79.467,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.467
STR,Aston Martin,2.0,0 days 00:01:21.013000,SOFT,1.0,1,True,81.013,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.013
STR,Aston Martin,5.0,0 days 00:01:21.193000,SOFT,2.0,12,True,81.193,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.193
TSU,RB,2.0,0 days 00:01:21.068000,SOFT,1.0,1,True,81.068,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.068
TSU,RB,5.0,0 days 00:01:20.945000,SOFT,2.0,12,True,80.945,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.945
VER,Red Bull Racing,2.0,0 days 00:01:20.226000,SOFT,1.0,1,True,80.226,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.226
