Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,LapTimeSeconds,Year,Track,Session,AirTempC,TrackTempC,Rainfall,TyreAgeLaps,SessionProgress,LapTimeFormatted,FuelKg,EstimatedCarWeightKg,CompoundEffect,Intensity,TyreAgeEffect,EstimatedTyreTempC
RUS,Mercedes,17.0,0 days 00:01:19.440000,SOFT,6.0,1,True,79.44,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.440,10.0,808.0,8,1.0,0.0,62.73037974683544
SAI,Ferrari,2.0,0 days 00:01:23.504000,SOFT,1.0,1,True,83.504,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:23.504,10.0,808.0,8,-1.0,0.0,50.73037974683544
SAI,Ferrari,5.0,0 days 00:01:20.149000,SOFT,2.0,1,True,80.149,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.149,10.0,808.0,8,0.3221578018653958,0.0,58.66332655802781
SAI,Ferrari,8.0,0 days 00:01:20.328000,SOFT,3.0,1,True,80.328,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.328,10.0,808.0,8,0.14166876733047995,0.0,57.58039235081832
SAI,Ferrari,11.0,0 days 00:01:19.799000,SOFT,4.0,1,True,79.799,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.799,10.0,808.0,8,0.6750693219057241,0.0,60.78079567826978
SAI,Ferrari,14.0,0 days 00:01:19.701000,SOFT,5.0,1,True,79.701,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.701,10.0,808.0,8,0.773884547517031,0.0,61.37368703193762
SAI,Ferrari,17.0,0 days 00:01:19.467000,SOFT,6.0,1,True,79.467,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.467,10.0,808.0,8,1.0,0.0,62.73037974683544
STR,Aston Martin,2.0,0 days 00:01:21.013000,SOFT,1.0,1,True,81.013,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.013,10.0,808.0,8,-0.5490294933198905,0.0,53.4362027869161
STR,Aston Martin,5.0,0 days 00:01:21.193000,SOFT,2.0,12,True,81.193,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.193,10.0,808.0,8,-0.7305268464834835,0.0,52.34721866793454
TSU,RB,2.0,0 days 00:01:21.068000,SOFT,1.0,1,True,81.068,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.068,10.0,808.0,8,-0.6044870178976499,0.0,53.10345763944954
TSU,RB,5.0,0 days 00:01:20.945000,SOFT,2.0,12,True,80.945,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.945,10.0,808.0,8,-0.4804638265691849,0.0,53.84759678742033
VER,Red Bull Racing,2.0,0 days 00:01:20.226000,SOFT,1.0,1,True,80.226,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.226,10.0,808.0,8,0.24451726745652408,0.0,58.19748335157458
VER,Red Bull Racing,5.0,0 days 00:01:22.812000,SOFT,2.0,12,True,82.812,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:22.812,10.0,808.0,8,-1.0,0.0,50.73037974683544
VER,Red Bull Racing,8.0,0 days 00:01:19.874000,SOFT,3.0,1,True,79.874,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.874,10.0,808.0,8,0.5994454247542355,0.0,60.32705229536085
VER,Red Bull Racing,11.0,0 days 00:01:19.662000,SOFT,4.0,1,True,79.662,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.662,10.0,808.0,8,0.8132089740357983,0.0,61.609633591050226
VER,Red Bull Racing,14.0,0 days 00:01:20.072000,SOFT,5.0,1,True,80.072,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.072,10.0,808.0,8,0.3997983362742674,0.0,59.12916976448104
